"Русский Season 18 Последнее обновление:
26 июня, 2026 Эта работа стала возможной благодаря Дж. С. Миллю и его оригинальной таблице здесь Марка и модель","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Требуемое DLC","Нужно ли открывать","Открывается по","Требуемый уровень","Находится в регионе","Находится на карте","Название контракта/поручения для открытия","Класс авто","Цена в магазине грузовиков","Тип привода","Полный привод","Блокировка дифференциала","Диаметр колёс в стоке (дюймы)","Scale stock","Макс. диаметр колёс (дюймы)","Scale max","Объем бака (л)","Крут. момент топ движка","Полная масса c колёсами","Отношение момент/масса","Коробки передач","Лебёдки","Поворотные оси","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Высокая подвеска","Заказная подвеска","Crawler
Suspension","Активная подвеска","Спаренные вседорожные шины","Одинарные вседорожные шины","Спаренные внедорожные шины","Одинарные внедорожные шины","Шины для грязи","Болотные шины","Шины с цепями","Масса каждой шины","Умножение массы для задней оси","VladVulcan рекомендует","Грузовые прицепы","Скаутские прицепы","Сельхоз прицепы","Низкое седло","Бочки под низкое седло","Высокое седло","Бочка под высокое седло","Манипулятор","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Большой кран","Сверхтяжелый кран","Кран для бревен","1-слотовая платформа","2-слотовая платформа","3-слотовая платформа","4-слотовая платформа","КОМБО: кран + седло ","Модуль для коротких брёвен","Модуль для средних брёвен","Роспуск для длинных брёвен","КОМБО: кран ЛП-4 и низкое седло","Прицепы-лесовозы Futom","Складной полуприцеп-лесовоз (длинные бревна)","Бак для топлива (л)","Бак для воды (л)","Ремонтный кунг (ремонт - запаски)","Сервисный модуль для ТО (ремонт - запаски - литры)","Многоцелевой грузовой модуль
(ремонт - запаски - литры)","Поддержать проект через криптовалюту USDT (TRC20): TL4VWRZYuesxdVey6hp4TujJFHEUAf9NfN  Донаты на развитие таблицы очень приветствуются! Багажник на крышу и/или в кузов (ремонт - запаски - литры)","Максимум припасов
(ремонт - запаски - литры)","Запасное колесо (шт.)","Сейсмовибратор","Металло-
детектор","КОМБО: детектор + что-то еще","Платформа эвакуатора","Базовый движок","Крутящий
момент в стоке","Отношение
крут. момент/масса
в стоке","Имя файла грузовика
в архиве игры","","",""
"KRS 58 ""Bandit""","Year 1 - Season 2","FALSE","","","","","","Вездеход","$125 400","8x8","Постоянный","Постоянная","51","0,65","51","0,65","150","185000","7820,9","23,65","Грузовые","Средние","2, передние","","","","","JAT ATMD (DLC)","UAD singles","JAT OMD (DLC)","UOD singles","","AMHS","UAD chains single","100","x2","AMHS I
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","KRS-58","","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","150-2-140","950-8-140;
450-7-1540","","СейсмоВибратор","","","Платформа эвакуатора с рампой","LAZ 6 T60","130000","16,62","krs_58_bandit.xml","","",""
"Land Rover Defender 110","Land Rover Dual Pack","FALSE","","","","","","Скаут","$19 200","4x4","Подключаемый","Подключаемая","31","0,40","33","0,42","80","120000","2652","45,25","Скаутские","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
LR tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Land Rover tires
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-100","","2","","","","","Het/8V 5,8","90000","33,94","land_rover_defender_110.xml","","",""
"Land Rover Defender 90","Land Rover Dual Pack","FALSE","","","","","","Скаут","$21 400","4x4","Подключаемый","Подключаемая","31","0,39","32","0,41","80","120000","2075","57,83","Скаутские","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
LR tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Land Rover tires
JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-100","","2","","","","","Het/8V 5,8","90000","43,37","land_rover_defender_90.xml","","",""
"Mack Defense M917","Year 3 - Season 10","TRUE","Поручение","","British Columbia","North Peak National Park","""Long Distance Haul""","Вездеход","$127 500","8x8","Постоянный","Подключаемая","47","0,60","47","0,60","350","232000","17629","13,16","Грузовые+
Шир. назначения
(M917)","Средние","1, передняя","Высокая","","","Активная","","ATHS","","OHS;
JAT OHS (DLC);
Mack M917 tires","DMHS;
JAT MHS (DLC)","","UAD chains","200","","Mack tires","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","","150-0-80","950-7-80
450-6-1480","1","СейсмоВибратор","","","Платформа эвакуатора с рампой
Подвижная платформа эвакуатора ","MC-V6 11.0T","176500","10,01","mack_defense_m917.xml","","",""
"Mack Pinnacle","Mack Dual Pack","FALSE","","","","","","Грузовой","$145 000","6x6","Подключаемый","Подключаемая","43","0,54","46","0,58","350","232000","13547","17,13","Грузовые+
Шир. назначения
(Pinnacle)","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC);
Mack ZES","","OHD;
JAT OHD (DLC)","","JAT MMD (DLC)","","OHD chains","","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","Pinnacle log crane","","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +прицеп","","Оба седла+кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз +КМУ +Прицеп","Передний роспуск","","","","1800","1800","800-6","300-5-1400","","150-0-80","150-8-1880
950-14-80
450-13-1480","","","","","Платформа эвакуатора с рампой","MC-V6 11.0T","176500","13,03","mack_pinnacle.xml","","",""
"Mack Terra Pro","Mack Dual Pack","FALSE","","","","","","Шоссейный","$129 800","6x4","Нет","Постоянная","44","0,56","47","0,60","280","232000","10570","21,95","Грузовые+
Шир. назначения
(Terra Pro)","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC);
Mack ZES","","OHD;
JAT OHD (DLC)","","JAT MMD (DLC)","","OHD chains","","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +прицеп","","Оба седла+кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","","","1800","1800","800-6","300-5-1400","","150-0-100","150-4-1900
950-10-100
450-9-1500","4","","","","Платформа эвакуатора с рампой","MC-V6 11.0T","176500","16,70","mack_terra_pro.xml","","",""
"Mercedes-Benz Actros 3332","Mercedes-Benz Dual Pack","FALSE","","","","","","Вездеход","$155 100","6x6","Подключаемый","Подключаемая","46","0,59","50","0,64","180","185200","13026","14,22","Truck (Actros)","Средние","1, передняя","Высокая","","Всепроходная","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC);
MB Actros tires","","","","OHD chains","220","x2","MB Actros tires
OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8
SLEI-64","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","","150-0-260","950-6-260;
150-0-2060","","СейсмоВибратор +Прицеп","","","","MEREX 6L-320","170950","13,12","mercedes_benz_actros_6x6.xml","","",""
"Mercedes-Benz Zetros","Mercedes-Benz Dual Pack","FALSE","","","","","","Вездеход","$159 000","6x6","Подключаемый","Подключаемая","46","0,59","48","0,62","360","257700","21161","12,18","Truck (Zetros)","Средние","1, передняя","Высокая","","Всепроходная","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC);
MB Zetros tires","TMHS","MHS chains","220","x2","OHS II
JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8
SLEI-64","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","800-6","","","150-0-140","950-6-140;
150-0-1940","","СейсмоВибратор +Прицеп","","","","BRANDT V6-360","222270","10,50","mercedes_benz_zetros_6x6.xml","","",""
"Mercer K520","Year 4
Season 15","TRUE","Контракт","","Quebec","Lake Ribiere","""Wormhole""","Offroad","$109 350","6x6","Подключаемый","Подключаемая","46","0,59","49","0,62","240","150000","9219","16,27","Грузовые+
Заказная (Mercer)","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","Mercer K520 tires","JAT MHS (DLC)","","OHD chains","200","x2","Mercer K520 tires
OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","","600-2-220","","150-0-40","150-4-1840;
750-6-260","4","","","","Подвижная платформа эвакуатора ","Si-6V/1900","135000","14,64","mercer_k520.xml","","",""
"MTB 8106 Rock Grinder","Year 3 - Season 12","TRUE","Контракт","","North Carolina","Pineline Bay","""Vice-Like Grip""","Скаут","$19 600","4x4","Постоянный","Подключаемая","35","0,44","36","0,46","80","58000","2710","21,40","Скаутские","Лёгкие","1, передняя","Высокая","","Всепроходная","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-160","","2","","","","","AAT-6V 4,0","35000","12,92","mtb_8106.xml","","",""
"Navistar 5000-MV","Navistar DLC","FALSE","","","","","","Тяжелый","$113 600","6x6","Постоянный","Нет","44","0,56","49","0,62","340","210000","16015","13,11","Грузовые","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","","","","","","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","2","","","","","NavGlobal D12-T 900","175000","10,93","navistar_5000mv.xml","","",""
"Neo Falcon 2000","Year 3 - Season 11","TRUE","Поручение","","Scandinavia","By the Lake","""A Rare Vehicle""","Скаут","$17 800","4x4","Подключаемый","Подключаемая","36","0,46","38","0,48","90","50000","2414","20,71","Скаутские","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Скаутские прицепы","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-100","","2","","","","","AAT-6V 4,0","35000","14,50","neo_falcon_2000.xml","","",""
"Pacific P12","","FALSE","","","","","","Тяжелый","$126 600","6x6","Подключаемый","Постоянный","57","0,73","57","0,73","350","210000","26240","8,00","Для спецтехники","Тяжелые","1, передняя","","","","","ATMD;
JAT ATHD (DLC)","ATHS;
Pacific P12 AT","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","OHD chains","300","x2,1","OHD I","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","PC-320","LK-2NY","ЛП-4","Многофункциональный грузовой модуль + прицеп","","","","","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","","350-6-2000","450-4-250
+кран+1СлотБорт","","","4","","Металло-
детектор","МД+ВысокоеСедло","Платформа эвакуатора с рампой","A12V-780","175000","6,67","pacific_p12w.xml","","",""
"Pacific P16","","TRUE","Разведка","","Michigan","Drummond Island","","Тяжелый","$140 700","6x4","Нет","Постоянный","57","0,73","57","0,73","300","210000","27091","7,75","Для спецтехники","Тяжелые","1, передняя","","","","","","","JAT OHD (DLC)","","OHD (P16)","","","300","x2,1","OHD I (P16)","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","","","","","","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","","","","","","","","","","","","","A12V-780","175000","6,46","pacific_p16.xml","","",""
"Pacific P512 PF","Year 1 - Season 3","TRUE","Разведка","","Wisconsin","Black Badger Lake","","Тяжелый","$135 000","6x4","Нет","Подключаемая","51","0,65","51","0,65","300","210000","13540","15,51","Грузовые","Средние","1, передняя","","","","","","","JAT OHD (DLC)","","OHD (P512)","","","200","","OHD I (P512)","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","450-4-250
+кран+1СлотБорт","","","4","СейсмоВибратор","Металло-
детектор","МД+ПереднийРоспуск
МД+НизкоеСедло
МД+ВысокоеСедло","Платформа эвакуатора с рампой","A12V-780","175000","12,92","pacific_p512.xml","","",""
"Padera STD-4","Dragon Wagons Dual Pack","FALSE","","","","","","Грузовой","$147 600","8x8","Подключаемый","Подключаемая","46","0,59","50","0,63","250","202220","17350","11,66","Special (STD-4)","Средние","2, передние","Высокая","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","Padera STD-4
 tires","","OHD chains","300","x1,5","Padera STD-4
 tires","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","SLEI-64
LC 3.8","PC-320","LK-2NY","ЛП-4","Kung Sideboard","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","Кран ЛП-4 + низкое седло","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","300-5-1400","400-4-400
+1СлотБорт","150-0-120","950-6-120;
450-5-1520;
550-4-520","4","СейсмоВибратор +Прицеп","","","Подвижная платформа эвакуатора ","KoRDA-820B","165200","9,52","padera_std4.xml","","",""
"PLAD 440 “Buddy”","Year 4
Season 16","TRUE","Поручение",""," Washington","Solace Bay","""Deliver at Any Cost""","Вездеход","$108 900","6x6","Подключаемый","Подключаемая","46","0,58","47","0,60","240","165000","11533","14,31","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC);
PLAD 440 tires","UOD;
JAT OMD (DLC);
PLAD 440 tires","JAT MMD (DLC)","","UAD chains","100","x2","PLAD 440 tires","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","","","Передний роспуск +КМУ","","","","1800","1800","800-6","","","150-0-80","150-4-1880;
950-10-80","","","Металло-
детектор","","","Si-6V/1900","135000","11,71","plad_440.xml","","",""
"PLAD 450","Year 4 - Season 13","TRUE","Поручение","","Almaty Region","Zherbai Quarries","""Not a Roller Coaster""","Тяжелый","$142 100","8x8","Подключаемый","Постоянный","59","0,75","63","0,80","300","245000","30856","7,94","Для спецтехники+
Шир. назначения (PLAD)","Тяжелые","2, передние","","","","","","ATHS","","OHS;
JAT OHS;
PLAD-450 tires","DMHS;
JAT MHS (DLC)","","MHS chains","600","","PLAD tires
JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","","LK-2NY","ЛП-4","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","","","Высокое седло + кран","Укороченный лесовоз +КМУ +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","450-4-250
+кран+1СлотБорт","150-0-160","150-4-1960;
600-4-410;
950-8-160","4","","","","","A12V-780","175000","5,67","plad_450.xml","","",""
"Rezvani Hercules 6x6","Rezvani Hercules DLC","FALSE","","","","","","Скаут","$39 400","6x6","Подключаемый","Постоянный","37","0,47","39","0,49","80","120000","4461","26,90","Скаутские","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
Hercules tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Hercules tires
JAT MS III","","","","","","","","","","","","","","","","","","","","","","","","","","","","450-4-320","450-4-320","","","","","","Het/8V 5,8","90000","20,17","rezvani_hercules_6x6.xml","","",""
"Rezvani Tank","Rezvani Tank DLC","FALSE","","","","","","Скаут","$20 500","4x4","Подключаемый","Подключаемая","37","0,47","39","0,49","80","120000","4016","29,88","Скаутские+
Специальная (Tank)","Лёгкие","1, передняя","Высокая","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
Tank tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Tank tires
JAT MS III","","","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-0
0-2-80","","","","","","","Het/8V 5,8","90000","22,41","rezvani_tank.xml","","",""
"Royal BM17","","TRUE","Разведка","","Alaska","North Port","","Вездеход","$122 100","6x6","Подключаемый","Нет","47","0,60","51","0,65","280","192000","10500","18,29","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","LC 3.8","PC-320","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","1800","1800","800-6","300-5-1400","","","","2","СейсмоВибратор","Металло-
детектор","","Подвижная платформа эвакуатора ","Gb-8V 2300c","160000","15,24","royal_bm17.xml","","",""
"Sleiter ST 816 ""Elephant""","Year 4
Season 15","TRUE","Контракт","","Quebec","Harbor","""Flexible Solution""","Heavy","$192 400","6x6","Подключаемый","Постоянная","67","0,85","67","0,85","380","245000","27721","8,84","Для спецтехники+
Шир. назначения (Sleiter)","Тяжелые","1, передняя","","","","Активная","","","","","MSH
JAT MSH (DLC)
Sleiter 816 tires","","","600","","Elephant tires
JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","SLEI-64","","","","","","","","Высокое седло + кран","","","","","","","","","","","","600-0-240","","2","","","","","A12V-780","175000","6,31","sleiter_mfk816.xml","","",""
"Sleiter ST 833 “Chimera”","Year 4
Season 16","TRUE","Контракт",""," Washington","Selten River Mountains","""Patched-Up Behemoth""","Тяжелый","$181 700","6x6","Подключаемый","Постоянная","67","0,85","69","0,87","360","245000","28320","8,65","Для спецтехники","Тяжелые","1, передняя","","","","","","","","Sleiter 833 tires","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","SLEI-64","","LK-2NY","ЛП-4","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","3-слотовая
платформа +прицеп","","Высокое седло + кран","Укороченный лесовоз +Прицеп","Средний лесовоз + прицеп","Передний роспуск +КМУ","","","","","","800-6","300-5-1400","450-4-250
+кран+1СлотБорт","0-0-120","","4","СейсмоВибратор","","","Платформа эвакуатора с рампой
Подвижная платформа эвакуатора ","A12V-780","175000","6,18","sleiter_st833_chimera.xml","","",""
"Step 310E","","TRUE","Поручение","","Taymyr","Zimnegorsk","""Truck Recovery""","Вездеход","$89 100","6x6","Подключаемый","Подключаемая","39","0,50","43","0,55","220","185000","7538,5","24,54","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","ЛП-4","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз +Прицеп","Средний лесовоз","Передний роспуск","","","ДА","1800","1800","800-6","300-5-1400","","","","2","","Металло-
детектор","МД+НизкоеСедло","Платформа эвакуатора с рампой","LAZ 6T173 ""Voin""","150000","19,90","step_310e.xml","","",""
"Step 33-64 ""Crocodile""","Crocodile DLC","FALSE","","","","","","Вездеход","$26 200","4x4","Постоянный","Постоянный","39","0,50","42","0,53","150","185000","5114","36,18","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC);
UCD","","UOD;
JAT OMD (DLC)","","JAT MMD (DLC)","TMHS","UAD chains","100","x2","TMHS I
JAT MMD I","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","1-слотовая
платформа +прицеп","","","","","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","","900","","500-2-60","","","0-0-60","500-3-120","2","","","","","LAZ 6 T60","130000","25,42","step_3364_crocodile.xml","","",""
"Step 39331 ""Pike""","Year 2 - Season 8","TRUE","Поручение","","Belozersk Glades","The Institute","""A Gift Horse""","Вездеход","$79 700","6x6","Постоянный","Постоянный","41","0,52","43","0,55","250","185000","9003","20,55","Грузовые","Средние","1, передняя","Высокая","","","","UAD;
JAT ATMD (DLC);
UCD","","","","MHS II;
JAT MHS (DLC)","","","100","x2","UCD I (Pike)
JAT MHS IV","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","ЛП-4","","2-слотовая
платформа +кран +прицеп","","","Оба седла+кран","","","Передний роспуск +КМУ","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","","150-0-80","950-6-80","2","СейсмоВибратор","","","","LAZ 6 T60","130000","14,44","step_39331_pike.xml","","",""
"Tatra 805","Tatra
Dual Pack","FALSE","","","","","","Скаут","$39 400","4x4","Подключаемый","Подключаемая","37","0,47","37","0,47","190","185000","2616","70,72","Грузовые","Лёгкие","1, передняя","","","","","","UAD singles;
JAT ATMS (DLC)","","UOD singles;
JAT OMS (DLC)","","AMHS","UAD chains single","100","","JAT OMS III
AMHS I","Грузовые прицепы","Скаутские прицепы","","","","","","","","","","1-слотовая
платформа +прицеп","","","","","","","","","","","900","","500-2","","","200-0-80","700-2-80","","","","","","LAZ 6 T60","130000","49,69","tatra_805.xml","","",""
"Tatra Force T815-7","Year 2 - Season 5","TRUE","Поручение","","Don","Factory Grounds","""The Sleeping King""","Тяжелый","$211 000","8x8","Подключаемый","Подключаемая","50","0,64","50","0,64","380","260000","15651","16,61","Для спецтехники","Тяжелые","2, передние","","","","","","ATHS","","OHS;
JAT OHS (DLC)","MSH (Force);
DMHS;
JAT MHS (DLC)","","MHS chains","200","","MSH I (Force)","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","TAT-12","","","","Многофункциональный грузовой модуль + прицеп","2-слотовая
платформа +кран +прицеп","","","Высокое седло + кран","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","2000","","Tatra Tow Module (250-3)","","450-4-250
+кран+1СлотБорт","300-0-160","750-4-410","","","","","Модуль тягача Татры","KZGT-8 490","205000","13,10","tatra_force_t815_7.xml","","",""
"Tatra Phoenix","Year 2 - Season 5","TRUE","Поручение","","Don","Antonovskiy Nature Reserve","""Wipe Away The Debt""","Вездеход","$96 900","8x8","Подключаемый","Подключаемая","46","0,58","46","0,58","345","235000","15620","15,04","Грузовые","Средние","4, перед+зад","","","","","","ATHS","","OHS;
JAT OHS (DLC)","MSH I (Phoenix);
DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II
MSH I (Phoenix)","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","TAT-12","","","","","2-слотовая
платформа +кран +прицеп","","","Высокое седло + кран","","","","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","2000","","","","","","","2","","","","","Azov AM-8 14","170000","10,88","tatra_phoenix.xml","","",""
"Tatra T813","Tatra
Dual Pack","FALSE","","","","","","Тяжелый","$202 501","8x8","Подключаемый","Подключаемая","50","0,64","50","0,64","380","260000","15612","16,65","Для спецтехники","Тяжелые","2, передние","","","","","","ATHS","","OHS;
JAT OHS (DLC)","MSH (T813);
DMHS;
JAT MHS (DLC)","","MHS chains","200","","MSH I (T813)","Грузовые прицепы","","","","","Высокое седло","Тяжелый ПП топливо (5000л)","","","","","","2-слотовая
платформа +прицеп","","","","","","","","","ДА","","","","","","450-0-160","","","","","","Подвижная платформа эвакуатора ","KZGT-8 490","205000","13,13","tatra_t813.xml","","",""
"Tayga 6436","","TRUE","Разведка или Поручение","","Taymyr
Belozersk Glades
British Columbia","Drowned Lands;
Crossroads;
North Peak National Park","""SOS""","Вездеход","$75 000","6x6","Постоянный","Постоянный","47","0,60","51","0,65","330","200000","13130","15,23","Грузовые","Средние","1, передняя","Высокая","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","TMHS","OHD chains;
MHS chains","200","x2","OHD I
TMHS","Грузовые прицепы","","","Низкое седло","ПП топливо/ вода (3700л)","Высокое седло","Тяжелый ПП топливо (5000л)","IM50","Avto-23","","","","2-слотовая
платформа +прицеп","","","Оба седла+кран","Укороченный лесовоз","","Передний роспуск","","Прицеп-лесовоз Futom-S
Прицеп-лесовоз Futom-M","ДА","1800","1800","800-6","","","","","2","СейсмоВибратор","","","","LAZ 8 T260","160000","12,19","tayga_6436.xml","","",""
