"English Season 18 Last Updated:
June 26th, 2026 This work was made possible thanks to J.S. Mill and his orignal spreadsheet here Make and Model","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  DLC Required","Needs to be unlocked","Unlocked by","Rank
requirement","Found in region","Found on map","Contract or task name for unlock","Vehicle Class","Truck Store Price","Drivetrain","All-wheel drive","Differential locking","Tire Diameter Stock (in)","Scale stock","Tire Diameter Max (in)","Scale max","Fuel Capacity (L)","Top Engine Torque","Total Mass with wheels","Torque to Mass Ratio","Gearboxes","Winches","Steering axles","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Raised Suspension","Custom Suspension","Crawler
Suspension","Active Suspension","Double all-terrain tires","Single all-terrain tires","Double offroad tires","Single offroad tires","Mud tires","Flotation tires","Chained tires","Mass per tire","Rear axle mass scale (for doubles)","Recommended by VladVulcan","Truck Trailer","Scout Trailer","Farming Trailer","Saddle Low","Saddle Low Tankers","Saddle High","Saddle High Tanker","Loading Crane","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Big Crane","Superheavy Crane","Log Crane","1-slot Bed","2-slot Bed","3-slot Bed ","4-slot Bed ","Crane + Saddle combo ","Short Log Addon","Medium Log Addon","Log Carrier Front (Long logs)","LogCrane + LowSaddle Combo","Futom Logging Trailers","Foldable Logging Semitrailer (Long Logs)","Frame Fuel Tank (L)","Frame Water Tank (L)","Van Body Addon (Repairs - Wheels)","Frame Maintenance Addon (Repairs - Wheels - Fuel)","Multi-purpose Cargo Module
(Repairs - Wheels - Fuel)","Support me: ko-fi.com/vladvulcan or donate directly to PayPal (recepient email address: vladvulcan578@gmail.com). Donations are very welcome!  Roof Rack with supplies (Repairs -Wheels - Fuel)","Maximum Supplies
(Repairs -Wheels - Fuel)","Spare wheel addon (Pcs)","Seismic Vibrator","Metal Detector","Metal Detector+ anything combo","Towing Platform","Base Engine","Stock Torque","Torque-to-Mass ratio
stock","Truck file name
in the initial.pak","","",""
"Mercedes-Benz Actros 3332","Mercedes-Benz Dual Pack","FALSE","","","","","","Offroad","$155 100","6x6","Switchable","Switchable","46","0,59","50","0,64","180","185200","13026","14,22","Truck (Actros)","Medium","1, front","Raised","","Crawler","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC);
MB Actros tires","","","","OHD chains","220","x2","MB Actros tires
OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8
SLEI-64","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","","150-0-260","950-6-260;
150-0-2060","","SeismicVibrator +Trailer","","","","MEREX 6L-320","170950","13,12","mercedes_benz_actros_6x6.xml","","",""
"Mercedes-Benz Zetros","Mercedes-Benz Dual Pack","FALSE","","","","","","Offroad","$159 000","6x6","Switchable","Switchable","46","0,59","48","0,62","360","257700","21161","12,18","Truck (Zetros)","Medium","1, front","Raised","","Crawler","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC);
MB Zetros tires","TMHS","MHS chains","220","x2","OHS II
JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8
SLEI-64","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","800-6","","","150-0-140","950-6-140;
150-0-1940","","SeismicVibrator +Trailer","","","","BRANDT V6-360","222270","10,50","mercedes_benz_zetros_6x6.xml","","",""
"Mercer K520","Year 4
Season 15","TRUE","Contract","","Quebec","Lake Ribiere","""Wormhole""","Offroad","$109 350","6x6","Switchable","Switchable","46","0,59","49","0,62","240","150000","9219","16,27","Truck+
Custom (Mercer)","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","Mercer K520 tires","JAT MHS (DLC)","","OHD chains","200","x2","Mercer K520 tires
OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","","600-2-220","","150-0-40","150-4-1840;
750-6-260","4","","","","Articulated Towing Platform","Si-6V/1900","135000","14,64","mercer_k520.xml","","",""
"MTB 8106 Rock Grinder","Year 3 - Season 12","TRUE","Contract","","North Carolina","Pineline Bay","""Vice-Like Grip""","Scout","$19 600","4x4","Always On","Switchable","35","0,44","36","0,46","80","58000","2710","21,40","Scout","Scout","1, front","Raised","","Crawler","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-160","","2","","","","","AAT-6V 4,0","35000","12,92","mtb_8106.xml","","",""
"Navistar 5000-MV","Navistar DLC","FALSE","","","","","","Heavy","$113 600","6x6","Always On","None","44","0,56","49","0,62","340","210000","16015","13,11","Truck","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","","","OHD chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","","","","","","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","2","","","","","NavGlobal D12-T 900","175000","10,93","navistar_5000mv.xml","","",""
"Neo Falcon 2000","Year 3 - Season 11","TRUE","Task","","Scandinavia","By the Lake","""A Rare Vehicle""","Scout","$17 800","4x4","Switchable","Switchable","36","0,46","38","0,48","90","50000","2414","20,71","Scout","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-100","","2","","","","","AAT-6V 4,0","35000","14,50","neo_falcon_2000.xml","","",""
"Pacific P12","","FALSE","","","","","","Heavy","$126 600","6x6","Switchable","Always On","57","0,73","57","0,73","350","210000","26240","8,00","Special","Heavy","1, front","","","","","ATMD;
JAT ATHD (DLC)","ATHS;
Pacific P12 AT","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
JAT MHS (DLC)","","OHD chains","300","x2,1","OHD I","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","PC-320","LK-2NY","LP-4","Multi-purpose Cargo Module +Trailer","","","","","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","","350-6-2000","450-4-250
+Crane +1SlotBed","","","4","","Metal Detector","MD+SaddleHigh","Ramped Towing Platform","A12V-780","175000","6,67","pacific_p12w.xml","","",""
"Pacific P16","","TRUE"," Exploration","","Michigan","Drummond Island","","Heavy","$140 700","6x4","None","Always On","57","0,73","57","0,73","300","210000","27091","7,75","Special","Heavy","1, front","","","","","","","JAT OHD (DLC)","","OHD (P16)","","","300","x2,1","OHD I (P16)","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","","","","","","","","","","","","","A12V-780","175000","6,46","pacific_p16.xml","","",""
"Pacific P512 PF","Year 1 - Season 3","TRUE"," Exploration","","Wisconsin","Black Badger Lake","","Heavy","$135 000","6x4","None","Switchable","51","0,65","51","0,65","300","210000","13540","15,51","Truck","Medium","1, front","","","","","","","JAT OHD (DLC)","","OHD (P512)","","","200","","OHD I (P512)","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","450-4-250
+Crane +1SlotBed","","","4","SeismicVibrator","Metal Detector","MD+LogCarrierFront
MD+SaddleHigh
MD+SaddleLow","Ramped Towing Platform","A12V-780","175000","12,92","pacific_p512.xml","","",""
"Padera STD-4","Dragon Wagons Dual Pack","FALSE","","","","","","Heavy Duty","$147 600","8x8","Switchable","Switchable","46","0,59","50","0,63","250","202220","17350","11,66","Special (STD-4)","Medium","2, front","Raised","","","","ATMD;
JAT ATHD (DLC)","","OHD;
JAT OHD (DLC)","","Padera STD-4
 tires","","OHD chains","300","x1,5","Padera STD-4
 tires","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","SLEI-64
LC 3.8","PC-320","LK-2NY","LP-4","Kung Sideboard","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","400-4-400 +1SlotBed","150-0-120","950-6-120;
450-5-1520;
550-4-520","4","SeismicVibrator +Trailer","","","Articulated Towing Platform","KoRDA-820B","165200","9,52","padera_std4.xml","","",""
"PLAD 440 “Buddy”","Year 4
Season 16","TRUE","Task",""," Washington","Solace Bay","""Deliver at Any Cost""","Offroad","$108 900","6x6","Switchable","Switchable","46","0,58","47","0,60","240","165000","11533","14,31","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC);
PLAD 440 tires","UOD;
JAT OMD (DLC);
PLAD 440 tires","JAT MMD (DLC)","","UAD chains","100","x2","PLAD 440 tires","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","","","LogCarrierFront +LogCrane","","","","1800","1800","800-6","","","150-0-80","150-4-1880;
950-10-80","","","Metal Detector","","","Si-6V/1900","135000","11,71","plad_440.xml","","",""
"PLAD 450","Year 4 - Season 13","TRUE","Task","","Almaty Region","Zherbai Quarries","""Not a Roller Coaster""","Heavy","$142 100","8x8","Switchable","Always On","59","0,75","63","0,80","300","245000","30856","7,94","Special+
Multipurpose (PLAD)","Heavy","2, front","","","","","","ATHS","","OHS;
JAT OHS;
PLAD-450 tires","DMHS;
JAT MHS (DLC)","","MHS chains","600","","PLAD tires
JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","","LK-2NY","LP-4","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","","","Saddle High + crane","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","450-4-250
+Crane +1SlotBed","150-0-160","150-4-1960;
600-4-410;
950-8-160","4","","","","","A12V-780","175000","5,67","plad_450.xml","","",""
"Rezvani Hercules 6x6","Rezvani Hercules DLC","FALSE","","","","","","Scout","$39 400","6x6","Switchable","Always On","37","0,47","39","0,49","80","120000","4461","26,90","Scout","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
Hercules tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Hercules tires
JAT MS III","","","","","","","","","","","","","","","","","","","","","","","","","","","","450-4-320","450-4-320","","","","","","Het/8V 5,8","90000","20,17","rezvani_hercules_6x6.xml","","",""
"Rezvani Tank","Rezvani Tank DLC","FALSE","","","","","","Scout","$20 500","4x4","Switchable","Switchable","37","0,47","39","0,49","80","120000","4016","29,88","Scout+
Special (Tank)","Scout","1, front","Raised","","","","","AS;
Ultima AT (DLC)","","OS+ JAT OS;
Tank tires","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","Tank tires
JAT MS III","","","","","","","","","","","","","","","","","","","","","","","","","","","","150-0-0
0-2-80","","","","","","","Het/8V 5,8","90000","22,41","rezvani_tank.xml","","",""
"Royal BM17","","TRUE"," Exploration","","Alaska","North Port","","Offroad","$122 100","6x6","Switchable","None","47","0,60","51","0,65","280","192000","10500","18,29","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","LC 3.8","PC-320","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","1800","1800","800-6","300-5-1400","","","","2","SeismicVibrator","Metal Detector","","Articulated Towing Platform","Gb-8V 2300c","160000","15,24","royal_bm17.xml","","",""
"Sleiter ST 816 ""Elephant""","Year 4
Season 15","TRUE","Contract","","Quebec","Harbor","""Flexible Solution""","Heavy","$192 400","6x6","Switchable","Always On","67","0,85","67","0,85","380","245000","27721","8,84","Special+
Multipurpose (Sleiter)","Heavy","1, front","","","","Active","","","","","MSH
JAT MSH (DLC)
Sleiter 816 tires","","","600","","Elephant tires
JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","SLEI-64","","","","","","","","Saddle High + crane","","","","","","","","","","","","600-0-240","","2","","","","","A12V-780","175000","6,31","sleiter_mfk816.xml","","",""
"Sleiter ST 833 “Chimera”","Year 4
Season 16","TRUE","Contract",""," Washington","Selten River Mountains","""Patched-Up Behemoth""","Heavy","$181 700","6x6","Switchable","Always On","67","0,85","69","0,87","360","245000","28320","8,65","Special","Heavy","1, front","","","","","","","","Sleiter 833 tires","MSH;
JAT MSH (DLC)","","","600","","JAT MSH III","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","SLEI-64","","LK-2NY","LP-4","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","3-slot cargo Bed +Trailer","","Saddle High + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","","","","","","800-6","300-5-1400","450-4-250
+Crane +1SlotBed","0-0-120","","4","SeismicVibrator","","","Articulated Towing Platform
Ramped Towing Platform","A12V-780","175000","6,18","sleiter_st833_chimera.xml","","",""
"Step 310E","","TRUE","Task","","Taymyr","Zimnegorsk","""Truck Recovery""","Offroad","$89 100","6x6","Switchable","Switchable","39","0,50","43","0,55","220","185000","7538,5","24,54","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC)","","UOD;
JAT OMD (DLC)","","","","UAD chains","100","x2","UOD II
JAT OMD III","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","LP-4","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs","LogCarrierFront","","","YES","1800","1800","800-6","300-5-1400","","","","2","","Metal Detector","MD+SaddleLow","Ramped Towing Platform","LAZ 6T173 ""Voin""","150000","19,90","step_310e.xml","","",""
"Step 33-64 ""Crocodile""","Crocodile DLC","FALSE","","","","","","Offroad","$26 200","4x4","Always On","Always On","39","0,50","42","0,53","150","185000","5114","36,18","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC);
UCD","","UOD;
JAT OMD (DLC)","","JAT MMD (DLC)","TMHS","UAD chains","100","x2","TMHS I
JAT MMD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","1-slot cargo Bed +Trailer","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","900","","500-2-60","","","0-0-60","500-3-120","2","","","","","LAZ 6 T60","130000","25,42","step_3364_crocodile.xml","","",""
"Step 39331 ""Pike""","Year 2 - Season 8","TRUE","Task","","Belozersk Glades","The Institute","""A Gift Horse""","Offroad","$79 700","6x6","Always On","Always On","41","0,52","43","0,55","250","185000","9003","20,55","Truck","Medium","1, front","Raised","","","","UAD;
JAT ATMD (DLC);
UCD","","","","MHS II;
JAT MHS (DLC)","","","100","x2","UCD I (Pike)
JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","","","LogCarrierFront +LogCrane","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","","150-0-80","950-6-80","2","SeismicVibrator","","","","LAZ 6 T60","130000","14,44","step_39331_pike.xml","","",""
"Tatra 805","Tatra
Dual Pack","FALSE","","","","","","Scout","$39 400","4x4","Switchable","Switchable","37","0,47","37","0,47","190","185000","2616","70,72","Truck","Scout","1, front","","","","","","UAD singles;
JAT ATMS (DLC)","","UOD singles;
JAT OMS (DLC)","","AMHS","UAD chains single","100","","JAT OMS III
AMHS I","Truck Trailer","Scout Trailer","","","","","","","","","","1-slot cargo Bed +Trailer","","","","","","","","","","","900","","500-2","","","200-0-80","700-2-80","","","","","","LAZ 6 T60","130000","49,69","tatra_805.xml","","",""
"Tatra Force T815-7","Year 2 - Season 5","TRUE","Task","","Don","Factory Grounds","""The Sleeping King""","Heavy","$211 000","8x8","Switchable","Switchable","50","0,64","50","0,64","380","260000","15651","16,61","Special","Heavy","2, front","","","","","","ATHS","","OHS;
JAT OHS (DLC)","MSH (Force);
DMHS;
JAT MHS (DLC)","","MHS chains","200","","MSH I (Force)","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","TAT-12","","","","Multi-purpose Cargo Module +Trailer","2-slot cargo 
Bed +Crane +Trailer","","","Saddle High + crane","","","","","Futom-S logging trailer
Futom-M logging trailer","YES","2000","","Tatra Tow Module (250-3)","","450-4-250
+Crane +1SlotBed","300-0-160","750-4-410","","","","","Tatra Tow Module","KZGT-8 490","205000","13,10","tatra_force_t815_7.xml","","",""
"Tatra Phoenix","Year 2 - Season 5","TRUE","Task","","Don","Antonovskiy Nature Reserve","""Wipe Away The Debt""","Offroad","$96 900","8x8","Switchable","Switchable","46","0,58","46","0,58","345","235000","15620","15,04","Truck","Medium","4, front+rear","","","","","","ATHS","","OHS;
JAT OHS (DLC)","MSH I (Phoenix);
DMHS;
JAT MHS (DLC)","","MHS chains","200","","OHS II
MSH I (Phoenix)","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","TAT-12","","","","","2-slot cargo 
Bed +Crane +Trailer","","","Saddle High + crane","","","","","Futom-S logging trailer
Futom-M logging trailer","YES","2000","","","","","","","2","","","","","Azov AM-8 14","170000","10,88","tatra_phoenix.xml","","",""
"Tatra T813","Tatra
Dual Pack","FALSE","","","","","","Heavy","$202 501","8x8","Switchable","Switchable","50","0,64","50","0,64","380","260000","15612","16,65","Special","Heavy","2, front","","","","","","ATHS","","OHS;
JAT OHS (DLC)","MSH (T813);
DMHS;
JAT MHS (DLC)","","MHS chains","200","","MSH I (T813)","Truck Trailer","","","","","SaddleHigh","Fuel Heavy Semi (5000L)","","","","","","2-slot cargo Bed +Trailer","","","","","","","","","YES","","","","","","450-0-160","","","","","","Articulated Towing Platform","KZGT-8 490","205000","13,13","tatra_t813.xml","","",""
"Tayga 6436","","TRUE","Exploration
or Task","","Taymyr
Belozersk Glades
British Columbia","Drowned Lands;
Crossroads;
North Peak National Park","""SOS""","Offroad","$75 000","6x6","Always On","Always On","47","0,60","51","0,65","330","200000","13130","15,23","Truck","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","TMHS","OHD chains;
MHS chains","200","x2","OHD I
TMHS","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","","","2-slot cargo Bed +Trailer","","","Both saddles + crane","Short Logs Addon","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","","","","2","SeismicVibrator","","","","LAZ 8 T260","160000","12,19","tayga_6436.xml","","",""
"Tayga 6455B","Year 2 - Season 6","TRUE","Contract","","Maine","The Lowland","""Starting the Plank Production""","Offroad","$90 600","6x6","Always On","Always On","48","0,61","50","0,64","330","200000","13221","15,13","Truck","Medium","1, front","Raised","","","","","ATHS","","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","TMHS","MHS chains","200","","OHS II
JAT MHS IV","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","","","","","SeismicVibrator","","","","LAZ 8 T260","160000","12,10","tayga_6455b.xml","","",""
"TUZ 108 ""Warthog""","Year 1 - Season 1","TRUE"," Exploration","","Kola Peninsula","Imandra","","Offroad","$34 200","4x4","Switchable","Switchable","39","0,50","47","0,60","200","210000","4490","46,77","Truck","Medium +
Autonomous","1, front","Raised","","","Active","JAT ATMD (DLC)","UAD singles","JAT OMD (DLC)","UOD singles","JAT MMD (DLC)","AMHS","UAD chains single","100","x2","JAT MMD I","Truck Trailer","","","SaddleLow","","","","IM50","","","","1-slot cargo Bed +Trailer","","","","","","","","","Futom-S logging trailer
Futom-M logging trailer","","600","","500-2","","","150-2-60","","","","","","","Azov AM-8 14","170000","37,86","tuz_108_warthog.xml","","",""
"TUZ 16 ""Actaeon""","Year 1 - Season 1","TRUE"," Exploration","","Kola Peninsula","Lake Kovd","","Offroad","$70 400","4x4","Switchable","Switchable","39","0,50","47","0,60","110","185000","3840","48,18","Truck","Medium +
Autonomous","1, front","Raised","","","Active","JAT ATMD (DLC)","UAD singles","JAT OMD (DLC)","UOD singles","JAT MMD (DLC)","AMHS","UAD chains single","100","x2","UOD II
AMHS","Truck Trailer","","","","","","","IM50","","","","1-slot cargo
Bed +Crane +Trailer","","","","","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","","900","","500-2","","","150-0-80","650-3-80","2","","","","","LAZ 6 T60","130000","33,85","tuz_16_actaeon.xml","","",""
"TUZ 166","","TRUE","Exploration
or Task","","Taymyr
Belozersk Glades","Drowned Lands;
Crossroads","""Lost In The Rocks""","Scout","$15 500","4x4","Always On","Always On","31","0,40","39","0,50","60","72000","1855","38,81","Scout","Scout","1, front","Raised","Custom Tuned","","","","AS;
Ultima AT (DLC)","","OS;
JAT OS (DLC)","MS;
JAT MS (DLC)","","CS;
Ultima CS (DLC)","75","","JAT MS III","","Scout Trailer","","","","","","","","","","","","","","","","","","","","","","","","","","0-2-40","","1","","","","","Kr 37 model 166","20000","10,78","tuz_166.xml","","",""
"TUZ 420 ""Tatarin""","","TRUE","Exploration
or Task","","Taymyr","Zimnegorsk;
Rift","""Pacifist""","Scout","$146 300","8x8","Always On","Always On","47","0,60","47","0,60","300","200000","15751","12,70","Special","Scout","2, front","","","","","","","","","TO
JAT MHS (DLC)","","","200","","TO I","","","","","","","","","","","","","","","","","","","","","","","","","","","","150-2-120","","","","","","","IMZ-12 1000T","200000","12,70","tuz_420_tatarin.xml","","",""
"Voron AE-4380","","FALSE","","","Scandinavia","By the Lake","","Offroad","$82 100","6x6","Always On","Always On","43","0,55","50","0,63","250","200000","10643","18,79","Truck","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHS II
OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","","","","","2","","Metal Detector","MD+SaddleLow","Articulated Towing Platform","LAZ 8 T260","160000","15,03","voron_ae4380.xml","","",""
"Voron D-53233","","FALSE","","","","","","Offroad","$79 700","6x6","Always On","Always On","43","0,55","50","0,63","270","200000","13062,5","15,31","Unique offroad
(Voron D)","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","LP-4","","2-slot cargo 
Bed +Crane +Trailer","","","Both saddles + crane","Short Logs Addon +Trailer","MediumLogs +Trailer","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","2","","Metal Detector","MD+SaddleLow","Articulated Towing Platform","LAZ 8 T260","160000","12,25","voron_d53233.xml","","",""
"Voron G-5352","Year 5
Season 17","TRUE","Task","","Zurdania","The Valley of Falling Rocks","""Oldie But Goldie""","Heavy Duty","$152 900","8x8","Always On","Switchable","49","0,62","52","0,66","380","188220","14110,5","13,34","Voron G special","Medium","2, front","Raised","","","","","ATHS","","OHS;
JAT OHS;
Voron G tires","DMHS;
MHS II;
JAT MHS (DLC)","","MHS chains","285",""," Voron G tires
MHS II","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50
LC 3.8","Avto-23","LK-2NY","LP-4","Multi-purpose Cargo Module +IM50+ Trailer","2-slot cargo 
Bed +Crane +Trailer","","","","Short Logs Addon +LogCrane +Trailer","MediumLogs +Trailer","LogCarrierFront +LogCrane","LogCrane + LowSaddle","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400
900-6-300","300-2-200
+1SlotBed","150-0-100","1050-6-400
450-5-1500
450-2-300","2","SeismicVibrator +Trailer","","","Articulated Towing Platform","IMZ-8 300-T","144870","10,27","voron_g5352.xml","","",""
"Voron Grad","","TRUE","Driver's Rank","18","","","","Offroad","$84 400","6x6","Switchable","Switchable","43","0,55","50","0,63","330","235000","13150","17,87","Truck","Medium","1, front","Raised","","","","ATMD;
JAT ATHD (DLC)","ATHS","OHD;
JAT OHD (DLC)","OHS;
JAT OHS (DLC)","DMHS;
MHS II;
JAT MHS (DLC)","","OHD chains;
MHS chains","200","x2","OHD I","Truck Trailer","","","SaddleLow","Fuel/Water Semi (3700L)","SaddleHigh","Fuel Heavy Semi (5000L)","IM50","Avto-23","","","","2-slot cargo Bed +Trailer","","","Both saddles + crane","","","LogCarrierFront","","Futom-S logging trailer
Futom-M logging trailer","YES","1800","1800","800-6","300-5-1400","","","","2","","","","Ramped Towing Platform","Azov AM-8 14","170000","12,93","voron_grad.xml","","",""
